,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Australia,2,0,0,0,0,0.05,-0.05,0.05,-0.05,0,0.05,0.2,0.05,0.35,0.25,0.3,-0.2,-0.15,-0.05,-0.05,0.15,0.15,-0.6,-0.35,-0.1
1,Bahrain,13,0,1,0,0,0.1,0.1,-0.1,0.05,-0.15,0.15,0.05,0.25,0.15,0.2,0.25,0.15,-0.35,0.2,0.2,0.2,0,-0.4,-0.6,-0.45
2,China,1,0,0,1,0,0.05,-0.05,0,0.05,-0.05,0,0,0.2,0.2,-0.5,-0.05,0.2,-0.2,0,0.2,0.05,0.05,-0.15,-0.4,-0.6
3,Azerbaijan,8,0,0,1,0,0,0,0,0,0.15,-0.05,0.1,-0.05,0.2,-0.5,0,0.25,-0.05,0.05,0.05,-0.8,-0.85,-0.2,-0.65,-0.5
4,Spain,3,0,1,0,0,0.05,-0.05,0.05,-0.05,0,0,0.05,0.2,0,-0.15,0,0.05,-0.65,0,0,0.1,0.1,-0.05,-0.15,-0.5
5,Monaco,14,0,1,0,1,0,0.1,-0.05,-0.05,0.15,0.15,0,0.1,-0.15,0.15,0.05,0.2,-0.1,-0.45,0.2,0.05,-0.15,0.1,-0.05,-0.25
6,Canada,6,0,0,0,0,0.05,-0.05,0,0.1,0.2,-0.1,0,-0.15,0.4,0,0,0.15,-0.05,0,0.05,0.1,-0.85,0.05,-0.3,-0.6
7,France,5,0,0,1,0,0,0,0,0,0.1,0,0.25,0.25,-0.2,-0.05,-0.15,0.1,0.2,0.25,-0.2,-0.3,-0.1,0,0.05,-0.2
8,Austria,0,0,0,0,0,0.05,-0.05,0,0.25,-0.05,-0.05,0.05,0.55,-0.15,-0.15,0.1,0,0.1,0,0.15,-0.25,-0.05,-0.9,-0.45,-0.15
9,Great Britain,3,0,1,0,0,0.05,-0.05,0,0.05,-0.05,0.35,0,0.2,0.4,0,-0.15,-0.15,0.25,0.25,0.25,-0.5,-0.1,-0.35,-0.25,-0.2
10,Germany,8,0,4,2,1,0.05,0.9,0.55,0.55,0.1,0.5,-0.05,0.2,-0.4,0.4,0.3,-0.35,-0.1,-0.5,-0.6,-0.35,-0.35,0.05,-0.3,-0.6
11,Hungary,1,0,0,0,0,0.1,-0.05,0.1,0,0.15,0,0.15,-0.3,-0.1,0.1,0.25,-0.05,0.05,0.3,-0.1,-0.05,0.05,-0.05,0,-0.55
12,Belgium,5,0,1,0,0,0,0.05,0.05,-0.1,0.6,0.05,0.6,0.2,0.2,0.3,0,-0.2,-0.2,-0.2,-0.05,-0.5,-0.85,0,-0.2,-0.75
13,Italy,5,0,0,2,0,0,0.05,-0.05,0.05,0.05,0.1,0.55,0.55,0.05,0.3,0.3,-0.15,-0.45,0,-0.75,-0.15,-0.1,-0.35,-0.35,-0.65
14,Singapore,4,0,3,0,0,0.1,-0.05,0.05,-0.1,0,0,0.1,0.15,-0.05,0,0.3,-0.25,0.15,0.3,-0.05,0.15,-0.2,-0.3,-0.2,-0.1
15,Russia,3,0,2,1,1,-0.1,0.05,-0.7,0,0.15,0,-0.15,0,-0.55,-0.45,-0.15,0.25,-0.1,0.25,0.2,0.15,0.05,0.1,0.7,0.4
16,Japan,2,0,0,0,0,-0.05,-0.2,0.1,0.05,-0.75,0.1,0.1,-0.15,0.1,-0.15,-0.15,0.15,0.05,0.2,-0.25,-0.15,0.45,0.1,0.2,0.15
17,Mexico,2,0,0,1,0,0.1,0,0.15,-0.15,0,-0.1,0.2,0.25,0.05,0.1,-0.1,0.2,-0.3,0.05,0.1,0.15,0.05,0.1,-0.25,-0.6
18,United States,2,0,0,0,0,0,0.15,0,0,0.05,0.15,0.05,-0.05,0.1,-0.5,0.3,0.05,0.05,0.1,0,-0.3,0.05,-0.3,0,-0.9
19,Brazil,3,0,2,0,0,0,0.2,0.85,0.2,0.35,0.25,-0.2,0.1,0.3,0.3,-0.1,0.3,-0.3,-0.45,-0.1,0.15,-0.75,-0.2,-0.1,-0.8
20,Abu Dhabi,1,0,0,0,0,0,0,0,0.8,-0.05,-0.05,0.15,-0.1,0.2,-0.1,-0.2,-0.15,0.2,0,0,0,0.05,-0.35,0,-0.4
